Price,Property Type,Number Of Bedrooms,Number Of Bathrooms,Area,Location
"250,000 SAR",Apartment,2,3,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"14,985,000 SAR",Whole Building,7+,3,"1,358 sqm","Al Andalus, Riyadh, Ar Riyadh"
"1,100,000 SAR",Villa,7,5,391 sqm,"Al Wafa, Jeddah, Makkah Al Mukarramah"
"650,000 SAR",Apartment,4,3,123 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"1,200,000 SAR",Villa,7+,4,312 sqm,"Al Falah, Jeddah, Makkah Al Mukarramah"
"850,000 SAR",Full Floor,7+,4,145 sqm,"Al Dar Al Baida, Riyadh, Ar Riyadh"
"320,000 SAR",Apartment,3,2,659 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"320,000 SAR",Apartment,3,2,659 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"475,000 SAR",Apartment,4,3,649 sqm,"As Sulimaniyah, Jeddah, Makkah Al Mukarramah"
"475,000 SAR",Apartment,4,3,649 sqm,"As Sulimaniyah, Jeddah, Makkah Al Mukarramah"
"730,000 SAR",Apartment,4,3,112 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"395,000 SAR",Apartment,3,3,750 sqm,"As Safa, Jeddah, Makkah Al Mukarramah"
"650,000 SAR",Apartment,4,3,111 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"580,000 SAR",Apartment,5,3,163 sqm,"As Salamah, Makah Almukaramuh, Makkah Al Mukarramah"
"790,000 SAR",Apartment,5,3,175 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"730,000 SAR",Apartment,4,3,112 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"950,000 SAR",Apartment,4,3,157 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"320,000 SAR",Apartment,3,3,659 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"450,000 SAR",Apartment,3,2,102 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"5,300,000 SAR",Villa,7+,7,675 sqm,"Ash Shati, Jeddah, Makkah Al Mukarramah"
"375,000 SAR",Apartment,3,3,115 sqm,"As Safa, Jeddah, Makkah Al Mukarramah"
"375,000 SAR",Apartment,3,3,115 sqm,"As Safa, Jeddah, Makkah Al Mukarramah"
"14,000,000 SAR",Compound,7+,7+,"4,451 sqm","Al Khadraa, Makah Almukaramuh, Makkah Al Mukarramah"
"1,200,000 SAR",Full Floor,5,4,157 sqm,"Al Bayan, Riyadh, Ar Riyadh"
"1,000,000 SAR",Full Floor,5,4,166 sqm,"Al Bayan, Riyadh, Ar Riyadh"
"850,000 SAR",Apartment,3,2,60 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,250,000 SAR",Full Floor,3,3,202 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,050,000 SAR",Apartment,3,3,93 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,200,000 SAR",Full Floor,4,5,230 sqm,"Al Khalij, Riyadh, Ar Riyadh"
"1,500,000 SAR",Full Floor,4,5,251 sqm,"Al Khalij, Riyadh, Ar Riyadh"
